name,selling_price in Ph,year,seller_type,owner,km_driven,ex_showroom_price
Yamaha Sniper 155,72176,2021,Dealer,Third Owner,27353,468835
Suzuki Burgman 125,85604,2024,Private,Second Owner,27931,521585
Yamaha MT-03,157715,2022,Marketplace,Second Owner,15716,228576
Yamaha YZF R15 155,241070,2021,Marketplace,Third Owner,10969,363218
Yamaha Mio Aerox S,469557,2024,Private,First Owner,17931,52755
Yamaha XMAX,112645,2018,Marketplace,Second Owner,40625,322704
Yamaha XMAX,386595,2019,Marketplace,Third Owner,16860,458369
Yamaha Mio Aerox S,361125,2019,Dealer,Third Owner,27820,444004
Kawasaki Ninja 300,68635,2022,Marketplace,Third Owner,1183,103586
Suzuki Gixxer SF 155,393544,2024,Private,Second Owner,2332,542428
Suzuki Gixxer SF 155,51363,2024,Marketplace,Third Owner,33758,242140
Kawasaki Ninja 300,329871,2024,Private,Second Owner,31664,259589
Yamaha XMAX,268927,2017,Marketplace,First Owner,47726,162559
Kymco Like S 150,46483,2023,Dealer,First Owner,20125,416947
Suzuki Gixxer SF 155,225688,2020,Marketplace,Second Owner,23321,213068
Honda BeAT Premium ISS/CBS,135666,2018,Private,First Owner,33670,324248
Honda BeAT Premium ISS/CBS,408943,2023,Dealer,Second Owner,7408,222471
Suzuki Gixxer SF 155,257479,2023,Dealer,Third Owner,44855,72447
Kymco Skytown 150,375671,2024,Private,Second Owner,26240,539316
Royal Enfield Shotgun 650,118196,2018,Marketplace,Second Owner,8376,358980
Kymco Like S 150,466428,2020,Marketplace,Second Owner,7500,276944
Suzuki Gixxer SF 155,397482,2020,Dealer,Third Owner,32861,246079
Yamaha MT-03,136556,2022,Marketplace,Second Owner,20731,539114
Yamaha XMAX,43214,2020,Dealer,First Owner,38927,351667
Suzuki Gixxer SF 155,495062,2017,Dealer,Second Owner,18579,590732
Kymco Skytown 150,70608,2022,Private,Third Owner,13528,270766
Suzuki Burgman 125,303545,2018,Private,Third Owner,49786,547555
Royal Enfield Shotgun 650,279964,2022,Marketplace,Third Owner,40916,56573
Royal Enfield Shotgun 650,461577,2021,Dealer,Third Owner,48084,281448
Honda CRF250L,277863,2022,Dealer,Second Owner,48483,192356
Yamaha Sniper 155,451338,2024,Private,First Owner,10026,388211
Yamaha Mio Aerox S,285357,2021,Private,First Owner,43202,441047
Kymco Skytown 150,249759,2023,Marketplace,First Owner,47985,261098
Yamaha Sniper 155,481035,2023,Marketplace,Third Owner,33253,85891
Kawasaki Ninja 300,318362,2018,Dealer,First Owner,2463,247627
Kawasaki Ninja 300,69952,2023,Marketplace,Second Owner,16164,488194
Yamaha Mio Aerox S,499175,2019,Marketplace,First Owner,14077,469692
Kymco Skytown 150,438573,2023,Dealer,Second Owner,43879,122318
Honda BeAT Premium ISS/CBS,439772,2022,Dealer,Third Owner,41936,147539
Honda PCX160 CBS,129922,2021,Marketplace,First Owner,37413,165663
Royal Enfield Shotgun 650,460500,2022,Marketplace,Third Owner,7992,526927
Kymco Skytown 150,243138,2023,Marketplace,Second Owner,44649,104480
Honda CRF250L,347866,2024,Marketplace,Third Owner,10029,383992
Royal Enfield Shotgun 650,151964,2024,Dealer,Second Owner,19907,327162
Kawasaki Ninja 300,385493,2023,Private,Second Owner,47656,524273
Yamaha Mio Aerox S,267916,2018,Marketplace,Second Owner,45708,182757
Yamaha YZF R15 155,228291,2021,Marketplace,Third Owner,30753,466584
Honda CRF250L,105580,2019,Private,First Owner,40569,566820
Honda CRF250L,218180,2023,Private,Second Owner,45248,214852
Suzuki Gixxer SF 155,123723,2024,Private,Second Owner,16708,572999
Kymco Skytown 150,299520,2020,Private,Third Owner,4111,205382
Suzuki Burgman 125,124289,2018,Private,Third Owner,42813,415838
Honda PCX160 CBS,430685,2017,Private,Third Owner,33041,386427
Kymco Like S 150,404920,2021,Private,Third Owner,15168,514853
Suzuki Burgman 125,74501,2024,Private,Third Owner,12631,203079
Suzuki Burgman 125,247244,2020,Private,First Owner,10112,317912
Yamaha YZF R15 155,399927,2023,Marketplace,First Owner,36130,253003
Yamaha MT-03,294073,2023,Private,Third Owner,18375,87007
Kawasaki Ninja 300,66629,2019,Marketplace,Third Owner,42471,464024
Honda BeAT Premium ISS/CBS,140251,2020,Marketplace,Second Owner,49032,136578
Kymco Skytown 150,136472,2017,Private,First Owner,21815,413931
Honda BeAT Premium ISS/CBS,152718,2022,Marketplace,Third Owner,15672,525435
Yamaha YZF R15 155,357284,2020,Marketplace,Third Owner,18675,160925
Kymco Like S 150,454397,2017,Dealer,First Owner,15772,500158
Yamaha Mio Fazzio,76413,2023,Marketplace,Second Owner,40824,443559
Yamaha XMAX,289089,2021,Dealer,Third Owner,14580,136412
Honda BeAT Premium ISS/CBS,97554,2019,Dealer,Second Owner,33323,393909
Yamaha Sniper 155,312083,2019,Marketplace,First Owner,1186,455091
Yamaha YZF R15 155,413239,2022,Private,First Owner,23312,536519
Suzuki Burgman 125,75844,2019,Marketplace,Second Owner,42562,178902
Yamaha Sniper 155,165508,2021,Private,Second Owner,9140,255038
Yamaha Mio Aerox S,180358,2018,Dealer,Third Owner,41416,182249
Honda CRF250L,228010,2021,Dealer,First Owner,15389,161692
Suzuki Gixxer SF 155,454364,2017,Private,Second Owner,41844,133762
Yamaha Sniper 155,318991,2022,Dealer,Second Owner,14802,425457
Kymco Like S 150,167795,2024,Dealer,Second Owner,21049,194738
Kymco Skytown 150,356251,2020,Marketplace,Third Owner,36143,114397
Kymco Skytown 150,282989,2022,Marketplace,Second Owner,27188,205873
Honda BeAT Premium ISS/CBS,384075,2023,Private,First Owner,21655,127574
Kymco Like S 150,246555,2022,Private,First Owner,43058,528938
Yamaha Mio Fazzio,258078,2021,Dealer,First Owner,3780,241168
Honda PCX160 CBS,337553,2022,Marketplace,Third Owner,18142,167742
Yamaha XMAX,334152,2018,Private,Second Owner,40916,464831
Kymco Skytown 150,177536,2019,Dealer,First Owner,14934,548136
Royal Enfield Shotgun 650,473203,2019,Private,Second Owner,2978,480783
Suzuki Gixxer SF 155,431272,2019,Marketplace,Third Owner,40443,283426
Honda BeAT Premium ISS/CBS,177539,2018,Marketplace,First Owner,26727,285103
Suzuki Burgman 125,255434,2022,Private,Third Owner,19639,500073
Suzuki Gixxer SF 155,133666,2020,Dealer,First Owner,5759,167966
Yamaha MT-03,140013,2017,Marketplace,First Owner,16280,76133
Honda CRF250L,135673,2022,Private,Second Owner,5738,199237
Yamaha XMAX,425445,2022,Private,Second Owner,4449,400998
Kymco Skytown 150,343464,2024,Private,Second Owner,1077,216550
Yamaha XMAX,301808,2020,Dealer,Third Owner,9101,391390
Royal Enfield Shotgun 650,96013,2023,Marketplace,Second Owner,22491,84587
Yamaha Sniper 155,178173,2024,Marketplace,Second Owner,44761,372996
Suzuki Burgman 125,227920,2024,Dealer,First Owner,3606,380894
Yamaha YZF R15 155,329237,2024,Marketplace,Third Owner,43992,405179
Honda PCX160 CBS,420200,2018,Private,First Owner,32207,176688
Royal Enfield Shotgun 650,403393,2022,Private,First Owner,9799,485788
Kawasaki Ninja 300,215944,2018,Dealer,Third Owner,20210,477668
Honda BeAT Premium ISS/CBS,48541,2020,Dealer,First Owner,26304,115292
Honda PCX160 CBS,62453,2022,Dealer,First Owner,19262,357658
Kawasaki Ninja 300,431629,2020,Marketplace,Second Owner,13891,180303
Royal Enfield Shotgun 650,449450,2017,Private,First Owner,43642,67840
Honda CRF250L,391864,2022,Marketplace,Third Owner,47204,266482
Kymco Like S 150,467288,2021,Private,Second Owner,30926,592362
Yamaha Mio Fazzio,123579,2024,Marketplace,First Owner,32379,207216
Honda PCX160 CBS,482652,2024,Marketplace,First Owner,28615,438217
Yamaha Mio Fazzio,277463,2018,Dealer,Second Owner,35960,266454
Yamaha Mio Fazzio,258065,2017,Marketplace,Third Owner,21190,534812
Kawasaki Ninja 300,100056,2024,Dealer,Second Owner,47468,408541
Suzuki Gixxer SF 155,147579,2019,Marketplace,Third Owner,33030,234264
Suzuki Burgman 125,52384,2022,Dealer,Third Owner,23663,337287
Yamaha MT-03,93474,2017,Dealer,First Owner,13844,203108
Yamaha Mio Fazzio,85515,2024,Marketplace,Second Owner,6345,308229
Kawasaki Ninja 300,365169,2024,Private,First Owner,46232,185240
Kawasaki Ninja 300,110978,2017,Dealer,Second Owner,2537,349923
Suzuki Burgman 125,323661,2020,Marketplace,First Owner,19570,581224
Kawasaki Ninja 300,155068,2023,Dealer,Third Owner,45262,283746
Honda BeAT Premium ISS/CBS,129833,2020,Marketplace,Third Owner,19915,236168
Yamaha MT-03,384030,2019,Private,Second Owner,37346,478158
Yamaha XMAX,378454,2022,Private,Second Owner,15771,435351
Yamaha Sniper 155,415074,2023,Marketplace,First Owner,11764,432352
Yamaha MT-03,288823,2023,Dealer,Third Owner,31240,519601
Suzuki Burgman 125,258503,2023,Marketplace,Third Owner,27478,256150
Yamaha Mio Aerox S,186317,2019,Marketplace,Second Owner,29667,571058
Kymco Skytown 150,330553,2023,Private,First Owner,29863,473184
Honda PCX160 CBS,433512,2017,Dealer,Second Owner,21772,199095
Yamaha Mio Aerox S,351514,2019,Private,Third Owner,46250,280914
Kawasaki Ninja 300,308632,2024,Dealer,First Owner,19107,434200
Kymco Like S 150,431438,2019,Marketplace,Second Owner,18123,404452
Honda CRF250L,385560,2021,Dealer,Second Owner,4338,281051
Suzuki Gixxer SF 155,161717,2018,Private,Third Owner,43582,183604
Yamaha Sniper 155,491034,2023,Dealer,Second Owner,31987,570424
Yamaha MT-03,434389,2017,Dealer,Second Owner,14194,562828
Royal Enfield Shotgun 650,498402,2017,Private,First Owner,8661,290062
Yamaha XMAX,323037,2018,Marketplace,Second Owner,20356,547762
Suzuki Gixxer SF 155,163217,2017,Private,First Owner,40383,247499
Yamaha YZF R15 155,421443,2023,Marketplace,Third Owner,35524,261821
Kawasaki Ninja 300,146974,2023,Private,Second Owner,4806,402027
Yamaha Sniper 155,238792,2020,Marketplace,Third Owner,33310,130955
Suzuki Gixxer SF 155,242483,2022,Marketplace,First Owner,34739,416811
Honda PCX160 CBS,496822,2020,Marketplace,First Owner,27378,575332
Honda PCX160 CBS,246033,2017,Private,Third Owner,12360,270518
Royal Enfield Shotgun 650,469006,2022,Marketplace,Third Owner,30517,310048
Honda BeAT Premium ISS/CBS,167773,2019,Private,Third Owner,39192,271797
Yamaha MT-03,313812,2017,Private,Second Owner,15631,410892
Yamaha YZF R15 155,387683,2019,Dealer,First Owner,35035,558399
Kawasaki Ninja 300,161793,2020,Dealer,Second Owner,4910,593227
Kawasaki Ninja 300,365649,2018,Marketplace,Third Owner,24718,164817
Yamaha Mio Fazzio,111374,2024,Dealer,Third Owner,6735,224755
Yamaha YZF R15 155,178071,2017,Private,Third Owner,47475,379706
Royal Enfield Shotgun 650,450820,2024,Marketplace,Second Owner,15164,411349
Yamaha MT-03,130839,2018,Marketplace,First Owner,40747,453150
Yamaha YZF R15 155,388153,2019,Marketplace,Second Owner,10032,165262
Suzuki Gixxer SF 155,423380,2022,Marketplace,First Owner,26529,305589
Yamaha Mio Fazzio,367730,2020,Dealer,Second Owner,47495,344177
Yamaha YZF R15 155,306020,2017,Dealer,Third Owner,26133,308411
Honda CRF250L,79595,2018,Private,Third Owner,36869,540398
Yamaha YZF R15 155,283611,2018,Private,Second Owner,11108,508916
Honda CRF250L,438311,2024,Private,First Owner,26258,111832
Suzuki Burgman 125,303889,2022,Private,Third Owner,47762,399314
Yamaha MT-03,248561,2022,Private,Second Owner,24457,314924
Kawasaki Ninja 300,224614,2020,Dealer,Third Owner,11787,428848
Yamaha Sniper 155,155059,2023,Marketplace,Second Owner,8274,540516
Kymco Skytown 150,428751,2019,Marketplace,Second Owner,29036,582103
Suzuki Gixxer SF 155,379684,2023,Marketplace,Third Owner,25185,509256
Honda BeAT Premium ISS/CBS,384904,2024,Marketplace,First Owner,19509,569108
Yamaha MT-03,358753,2024,Marketplace,Third Owner,39997,435727
Kymco Like S 150,214693,2022,Private,Second Owner,44801,223570
Kymco Like S 150,133322,2017,Marketplace,First Owner,31962,567725
Suzuki Burgman 125,116367,2023,Dealer,Third Owner,46805,202852
Yamaha YZF R15 155,312797,2024,Private,First Owner,4010,452224
Yamaha Mio Fazzio,203522,2019,Marketplace,First Owner,9858,238140
Kawasaki Ninja 300,478111,2018,Dealer,Third Owner,5882,586769
Kymco Like S 150,492089,2018,Marketplace,First Owner,42999,432285
Yamaha MT-03,280577,2020,Private,Second Owner,31015,365558
Suzuki Burgman 125,47200,2023,Private,First Owner,33641,469669
Yamaha Sniper 155,123036,2021,Private,Second Owner,30801,262518
Suzuki Burgman 125,442425,2019,Dealer,First Owner,48310,335840
Suzuki Gixxer SF 155,47541,2021,Private,Third Owner,18988,266781
Yamaha MT-03,243624,2019,Marketplace,Second Owner,5132,126371
Yamaha Sniper 155,352392,2024,Marketplace,Third Owner,29641,135072
Yamaha MT-03,394513,2017,Private,Third Owner,44690,108956
Suzuki Gixxer SF 155,114412,2018,Marketplace,First Owner,23274,586273
Honda BeAT Premium ISS/CBS,458737,2021,Dealer,First Owner,41649,565397
Kymco Like S 150,148870,2024,Marketplace,First Owner,31593,568096
Honda CRF250L,407008,2022,Marketplace,First Owner,20584,320574
Yamaha Sniper 155,453263,2018,Marketplace,First Owner,14881,523712
Yamaha XMAX,229867,2024,Dealer,First Owner,23013,530716
Kymco Skytown 150,250358,2024,Marketplace,First Owner,31098,290922
Suzuki Burgman 125,164076,2022,Private,Second Owner,24991,236255
Honda PCX160 CBS,245346,2021,Marketplace,Third Owner,16418,589312
Royal Enfield Shotgun 650,102186,2024,Private,Second Owner,33991,362856
Suzuki Burgman 125,124510,2018,Private,Third Owner,17229,239574
Suzuki Gixxer SF 155,292704,2021,Private,First Owner,22197,264036
Honda CRF250L,294416,2018,Marketplace,Third Owner,47055,598545
Royal Enfield Shotgun 650,364723,2024,Dealer,First Owner,47559,592921
Kymco Skytown 150,349485,2017,Marketplace,Second Owner,47837,441320
Yamaha Sniper 155,237334,2023,Private,First Owner,42823,302766
Royal Enfield Shotgun 650,374149,2023,Marketplace,Third Owner,46154,257937
Kawasaki Ninja 300,429980,2021,Private,First Owner,7332,541568
Kymco Like S 150,365497,2019,Marketplace,First Owner,24893,499447
Kymco Skytown 150,493948,2022,Marketplace,Second Owner,47359,249447
Kymco Skytown 150,340133,2020,Marketplace,First Owner,11226,403438
Yamaha YZF R15 155,397739,2018,Marketplace,Second Owner,32361,249246
Yamaha Mio Fazzio,135673,2019,Private,First Owner,14368,309726
Honda CRF250L,251248,2017,Private,Third Owner,47539,271249
Yamaha Sniper 155,193183,2024,Marketplace,First Owner,20782,209459
Yamaha Sniper 155,282971,2023,Private,First Owner,30239,486225
Honda CRF250L,162465,2020,Dealer,Second Owner,47330,157442
Kawasaki Ninja 300,297002,2019,Marketplace,Third Owner,22751,515373
Yamaha Mio Aerox S,123383,2018,Marketplace,Second Owner,6860,489924
Yamaha MT-03,282210,2023,Dealer,First Owner,45378,548203
Honda PCX160 CBS,316530,2022,Dealer,First Owner,3163,120362
Kymco Like S 150,185146,2021,Private,Third Owner,17037,105107
Kymco Skytown 150,249451,2019,Private,First Owner,16835,296417
Kawasaki Ninja 300,283530,2022,Marketplace,Second Owner,1223,153482
Suzuki Gixxer SF 155,219659,2018,Dealer,Third Owner,20547,442978
Honda PCX160 CBS,356090,2019,Private,Third Owner,11196,81644
Honda CRF250L,407040,2023,Marketplace,Second Owner,17754,543903
Honda BeAT Premium ISS/CBS,62544,2018,Private,First Owner,7885,72645
Yamaha XMAX,117253,2021,Dealer,First Owner,1074,244008
Yamaha MT-03,257685,2021,Marketplace,First Owner,18259,205906
Kymco Skytown 150,48318,2017,Private,Third Owner,17380,268881
Honda CRF250L,396332,2019,Dealer,First Owner,23690,296646
Suzuki Gixxer SF 155,271755,2019,Marketplace,First Owner,12480,133645
Honda PCX160 CBS,81387,2022,Private,Third Owner,41414,479075
Yamaha Sniper 155,195857,2023,Dealer,First Owner,1650,517187
Honda BeAT Premium ISS/CBS,316769,2022,Private,Third Owner,25432,413464
Honda BeAT Premium ISS/CBS,499913,2019,Private,Second Owner,45380,313622
Kymco Like S 150,330630,2022,Private,Second Owner,7692,386631
Royal Enfield Shotgun 650,296124,2022,Dealer,Second Owner,33837,189378
Yamaha MT-03,442599,2019,Dealer,Third Owner,10598,271960
Yamaha XMAX,490246,2022,Private,Third Owner,48052,189424
Yamaha Mio Fazzio,242584,2017,Marketplace,Second Owner,30644,76616
Yamaha Sniper 155,267498,2024,Marketplace,Third Owner,32067,575389
Yamaha MT-03,383052,2022,Dealer,Third Owner,45270,64871
Yamaha YZF R15 155,435481,2019,Dealer,Third Owner,26849,230449
Yamaha XMAX,79298,2017,Marketplace,Third Owner,12450,97320
Honda PCX160 CBS,213848,2017,Private,Third Owner,11319,265545
Yamaha XMAX,300197,2023,Marketplace,Third Owner,35925,368962
Royal Enfield Shotgun 650,438738,2023,Marketplace,Third Owner,11819,448278
Suzuki Burgman 125,419456,2017,Private,Second Owner,31772,121879
Suzuki Burgman 125,490901,2023,Dealer,Third Owner,11808,177908
Yamaha Mio Aerox S,286262,2017,Marketplace,Second Owner,6130,168371
Honda CRF250L,317531,2023,Private,Third Owner,5826,539937
Honda CRF250L,426091,2020,Private,First Owner,5123,147168
Kawasaki Ninja 300,455566,2022,Dealer,Third Owner,13555,185999
Yamaha MT-03,343200,2022,Private,Second Owner,34799,563826
Yamaha XMAX,261702,2021,Private,Second Owner,17498,459107
Royal Enfield Shotgun 650,337588,2022,Marketplace,Third Owner,31644,361519
Yamaha MT-03,319468,2022,Private,First Owner,36621,238914
Suzuki Gixxer SF 155,301078,2024,Private,First Owner,32621,387289
Kymco Skytown 150,163461,2018,Private,First Owner,13572,285324
Yamaha Mio Aerox S,453065,2020,Dealer,Third Owner,46223,347855
Kymco Skytown 150,92224,2019,Dealer,Second Owner,4409,333556
Yamaha YZF R15 155,372807,2024,Marketplace,Second Owner,47928,149087
Suzuki Gixxer SF 155,357607,2019,Marketplace,Second Owner,23046,290243
Yamaha YZF R15 155,442081,2018,Marketplace,Third Owner,36766,170332
Yamaha Mio Aerox S,407756,2020,Dealer,Third Owner,1967,362418
Suzuki Burgman 125,245542,2024,Dealer,Second Owner,34926,311989
Kymco Skytown 150,393636,2019,Marketplace,First Owner,27000,358275
Yamaha Mio Aerox S,115240,2022,Dealer,First Owner,29526,63809
Yamaha XMAX,376251,2023,Dealer,Third Owner,28689,322302
Suzuki Gixxer SF 155,85868,2019,Dealer,First Owner,30119,233773
Honda PCX160 CBS,78314,2018,Private,First Owner,45201,149465
Kymco Skytown 150,485227,2021,Dealer,Third Owner,10775,182280
Yamaha MT-03,64726,2024,Private,Second Owner,34905,228895
Yamaha Mio Aerox S,365319,2017,Marketplace,Second Owner,36315,206208
Yamaha Mio Aerox S,475096,2022,Private,Third Owner,27899,268890
Royal Enfield Shotgun 650,367595,2020,Dealer,Third Owner,5859,82768
Suzuki Burgman 125,216684,2023,Dealer,Second Owner,16274,448640
Yamaha Mio Aerox S,146207,2023,Dealer,Third Owner,7069,350962
Suzuki Burgman 125,301097,2017,Private,Third Owner,16291,210543
Kawasaki Ninja 300,329555,2018,Dealer,Second Owner,32064,516257
Yamaha XMAX,494793,2018,Dealer,First Owner,28527,520925
Honda PCX160 CBS,135634,2024,Marketplace,Third Owner,20927,352842
Suzuki Burgman 125,422820,2017,Dealer,Third Owner,24545,298527
Kymco Skytown 150,463611,2019,Private,Second Owner,38898,329648
Yamaha Sniper 155,365231,2020,Private,Second Owner,26662,371441
Yamaha XMAX,297828,2021,Dealer,First Owner,15094,490804
Yamaha Mio Aerox S,302248,2018,Private,First Owner,46560,101319
Honda BeAT Premium ISS/CBS,61722,2017,Marketplace,Second Owner,39870,85334
Yamaha Sniper 155,201293,2024,Dealer,First Owner,6291,162570
Yamaha Mio Fazzio,283486,2022,Private,Third Owner,11165,550145
Honda PCX160 CBS,396559,2020,Private,Third Owner,40233,276452
Honda PCX160 CBS,347635,2020,Dealer,First Owner,9592,295543
Kawasaki Ninja 300,291796,2022,Private,Second Owner,42756,580143
Honda BeAT Premium ISS/CBS,396747,2023,Marketplace,Second Owner,5997,291376
Kymco Like S 150,85681,2017,Private,Third Owner,26867,426491
Honda PCX160 CBS,269622,2018,Marketplace,Second Owner,33052,229154
Yamaha Mio Fazzio,434264,2021,Private,Second Owner,5450,487277
Yamaha Mio Aerox S,82640,2022,Marketplace,First Owner,6968,149200
Honda BeAT Premium ISS/CBS,94357,2024,Dealer,First Owner,40330,162132
Yamaha MT-03,477033,2018,Private,Second Owner,40305,504542
Royal Enfield Shotgun 650,213820,2023,Private,First Owner,11947,584057
Yamaha Mio Fazzio,103553,2023,Marketplace,First Owner,19610,134757
Honda PCX160 CBS,324330,2019,Private,First Owner,24458,330606
Yamaha MT-03,486263,2021,Dealer,First Owner,39811,441394
Yamaha XMAX,444022,2019,Dealer,First Owner,17717,541631
Honda CRF250L,169786,2017,Dealer,First Owner,36899,334852
Yamaha XMAX,469209,2024,Private,First Owner,23399,152172
Yamaha XMAX,230805,2024,Dealer,Third Owner,23551,557439
Royal Enfield Shotgun 650,366640,2023,Private,Third Owner,44353,155784
Yamaha Sniper 155,484075,2020,Dealer,First Owner,44250,517329
Yamaha MT-03,463931,2022,Private,Second Owner,46168,56559
Honda PCX160 CBS,46111,2023,Dealer,First Owner,4976,380069
Kawasaki Ninja 300,105665,2024,Dealer,Second Owner,11420,410161
Yamaha Mio Fazzio,472256,2023,Private,Third Owner,21129,263089
Yamaha YZF R15 155,218670,2020,Marketplace,First Owner,42889,290562
Yamaha Mio Aerox S,280075,2017,Private,Second Owner,19651,61212
Honda PCX160 CBS,129548,2021,Private,First Owner,19985,546923
Royal Enfield Shotgun 650,187626,2022,Marketplace,First Owner,48549,538276
Honda BeAT Premium ISS/CBS,98620,2019,Private,Third Owner,43021,517436
Royal Enfield Shotgun 650,393583,2019,Private,Third Owner,4462,363139
Yamaha YZF R15 155,266121,2023,Dealer,First Owner,42175,480688
Yamaha XMAX,371594,2022,Marketplace,First Owner,36577,206537
Yamaha MT-03,337010,2023,Dealer,Second Owner,19799,129736
Suzuki Burgman 125,106089,2020,Dealer,First Owner,34083,442326
Kymco Like S 150,473706,2024,Marketplace,First Owner,35672,86575
Yamaha Mio Aerox S,411919,2024,Private,Second Owner,3909,59765
Kymco Like S 150,42181,2024,Private,Third Owner,46499,574446
Honda BeAT Premium ISS/CBS,404616,2017,Dealer,Third Owner,42462,76429
Royal Enfield Shotgun 650,270652,2018,Dealer,Third Owner,4869,440433
Royal Enfield Shotgun 650,149371,2020,Dealer,Third Owner,2465,125278
Yamaha YZF R15 155,456754,2019,Marketplace,First Owner,21685,341550
Yamaha MT-03,411158,2022,Marketplace,First Owner,23508,97768
Royal Enfield Shotgun 650,167600,2017,Dealer,First Owner,6674,274847
Honda BeAT Premium ISS/CBS,382369,2023,Dealer,Third Owner,24399,573968
Yamaha XMAX,107350,2022,Marketplace,First Owner,43448,347610
Yamaha MT-03,254325,2018,Marketplace,First Owner,15032,156302
Suzuki Burgman 125,168569,2018,Private,Third Owner,30523,367631
Yamaha XMAX,90580,2023,Dealer,Second Owner,6770,338780
Yamaha Mio Fazzio,141304,2022,Private,Third Owner,34272,103637
Yamaha YZF R15 155,276720,2018,Marketplace,First Owner,30651,295640
Kymco Skytown 150,72394,2019,Private,Second Owner,21972,366331
Yamaha MT-03,402389,2018,Marketplace,Second Owner,16387,507643
Honda PCX160 CBS,325269,2023,Dealer,Third Owner,31757,62541
Yamaha Sniper 155,464698,2024,Private,First Owner,35519,517893
Suzuki Gixxer SF 155,434819,2023,Private,Second Owner,33351,471457
Honda PCX160 CBS,428241,2018,Private,First Owner,27434,361909
Kawasaki Ninja 300,195644,2021,Private,Second Owner,35153,591799
Royal Enfield Shotgun 650,56696,2020,Private,Second Owner,1875,97314
Honda CRF250L,84016,2023,Private,Third Owner,11724,346859
Yamaha XMAX,278750,2017,Dealer,Second Owner,22392,175871
Royal Enfield Shotgun 650,289923,2019,Dealer,Third Owner,26223,538348
Honda CRF250L,241363,2019,Marketplace,First Owner,49814,333710
Royal Enfield Shotgun 650,154150,2019,Private,First Owner,37754,351010
Kawasaki Ninja 300,379406,2017,Marketplace,Third Owner,9052,229438
Yamaha Mio Fazzio,162852,2022,Marketplace,First Owner,35676,64202
Kymco Like S 150,291990,2024,Marketplace,Second Owner,44756,535335
Honda CRF250L,477351,2022,Dealer,Second Owner,39019,486351
Kawasaki Ninja 300,134050,2024,Dealer,First Owner,45926,164327
Yamaha Sniper 155,286890,2020,Marketplace,Second Owner,8491,510107
Yamaha Mio Aerox S,40125,2022,Marketplace,Third Owner,34841,133206
Kawasaki Ninja 300,48937,2017,Dealer,First Owner,36971,71686
Kymco Skytown 150,270310,2020,Dealer,First Owner,37309,413135
Honda BeAT Premium ISS/CBS,371165,2020,Dealer,Third Owner,40654,589245
Yamaha Mio Aerox S,215761,2022,Marketplace,First Owner,40226,477645
Honda BeAT Premium ISS/CBS,172661,2023,Dealer,First Owner,26096,102655
Suzuki Gixxer SF 155,243043,2023,Dealer,Third Owner,3892,329425
Yamaha MT-03,365657,2018,Private,Second Owner,25842,227432
Yamaha YZF R15 155,497614,2018,Private,Third Owner,23432,421880
Royal Enfield Shotgun 650,225698,2023,Private,First Owner,9374,269068
Yamaha Mio Fazzio,367444,2018,Private,First Owner,32570,552501
Yamaha XMAX,120707,2024,Private,First Owner,41278,247457
Suzuki Burgman 125,325083,2019,Marketplace,First Owner,10065,399419
Yamaha Sniper 155,160072,2022,Dealer,Third Owner,6734,357531
Yamaha Sniper 155,80375,2019,Private,First Owner,21741,164853
Kymco Skytown 150,355469,2017,Marketplace,Second Owner,28901,335186
Royal Enfield Shotgun 650,376327,2018,Marketplace,Second Owner,39616,106442
Royal Enfield Shotgun 650,146281,2019,Dealer,Second Owner,21896,305550
Honda PCX160 CBS,372969,2024,Private,First Owner,31716,64483
Yamaha Mio Aerox S,227663,2020,Private,First Owner,30259,140253
Kymco Like S 150,105770,2018,Dealer,First Owner,42726,499531
Yamaha XMAX,390366,2024,Dealer,Third Owner,17618,156702
Yamaha Sniper 155,276886,2020,Marketplace,First Owner,22895,378939
Honda CRF250L,80920,2019,Dealer,Third Owner,7586,138028
Suzuki Gixxer SF 155,466287,2019,Marketplace,First Owner,17793,249421
Yamaha XMAX,188990,2018,Marketplace,Third Owner,34183,338464
Yamaha Mio Fazzio,204747,2020,Marketplace,Second Owner,34900,559985
Suzuki Burgman 125,127824,2021,Marketplace,First Owner,12886,334300
Yamaha Mio Aerox S,364096,2023,Dealer,Second Owner,47998,459142
Honda CRF250L,449151,2018,Marketplace,Second Owner,21418,451206
Kymco Like S 150,335659,2021,Marketplace,Third Owner,23649,519963
Yamaha YZF R15 155,102486,2024,Private,First Owner,45196,321471
Honda PCX160 CBS,242280,2017,Private,Third Owner,20994,61425
Yamaha Mio Fazzio,421527,2019,Private,Second Owner,25051,225570
Yamaha YZF R15 155,214383,2020,Marketplace,First Owner,16731,389867
Suzuki Gixxer SF 155,227949,2018,Dealer,Third Owner,10035,420232
Yamaha MT-03,329689,2024,Private,First Owner,31000,481649
Yamaha YZF R15 155,431901,2020,Dealer,Second Owner,36854,104296
Yamaha YZF R15 155,272409,2024,Marketplace,First Owner,19861,188022
Suzuki Gixxer SF 155,242592,2017,Marketplace,First Owner,35442,338060
Yamaha MT-03,299474,2020,Private,Third Owner,30894,548541
Royal Enfield Shotgun 650,423856,2021,Private,Third Owner,27158,196095
Kawasaki Ninja 300,226488,2019,Dealer,Second Owner,22617,121025
Royal Enfield Shotgun 650,123961,2021,Marketplace,Second Owner,31370,384048
